DATE,ID,INDUSTRY,RECESS1,RECESS2,RECESS3,RECESS4,RECESS5
1969Q2,81,,0.0,5.0,15.0,10.0,10.0
1969Q2,82,,0.0,5.0,5.0,5.0,5.0
1969Q2,83,,0.0,0.0,10.0,30.0,10.0
1969Q2,85,,0.0,0.0,0.0,0.0,0.0
1969Q2,86,,0.0,0.0,5.0,10.0,10.0
1969Q2,88,,0.0,20.0,20.0,30.0,30.0
1969Q2,89,,0.0,20.0,20.0,40.0,50.0
1969Q2,90,,0.0,0.0,0.0,0.0,0.0
1969Q2,92,,0.0,5.0,25.0,40.0,50.0
1969Q3,1,,0.0,30.0,40.0,0.0,
1969Q3,3,,40.0,50.0,50.0,20.0,
1969Q3,6,,25.0,25.0,80.0,25.0,
1969Q3,10,,0.0,25.0,25.0,25.0,
1969Q3,13,,0.0,0.0,0.0,5.0,
1969Q3,14,,0.0,0.0,0.0,0.0,
1969Q3,15,,10.0,40.0,40.0,25.0,
1969Q3,18,,0.0,10.0,15.0,10.0,
1969Q3,22,,0.0,0.0,5.0,5.0,
1969Q3,23,,60.0,40.0,20.0,10.0,
1969Q3,24,,10.0,30.0,40.0,30.0,
1969Q3,26,,0.0,10.0,15.0,10.0,
1969Q3,29,,20.0,40.0,40.0,30.0,
1969Q3,30,,0.0,30.0,30.0,10.0,
1969Q3,31,,0.0,10.0,10.0,10.0,
1969Q3,33,,30.0,50.0,10.0,5.0,
1969Q3,34,,0.0,0.0,5.0,5.0,
1969Q3,38,,0.0,10.0,50.0,70.0,
1969Q3,39,,40.0,50.0,10.0,0.0,
1969Q3,40,,0.0,10.0,15.0,15.0,
1969Q3,41,,0.0,10.0,20.0,20.0,
1969Q3,44,,25.0,33.0,33.0,25.0,
1969Q3,46,,0.0,50.0,50.0,20.0,
1969Q3,47,,0.0,1.0,1.0,1.0,
1969Q3,48,,30.0,40.0,30.0,20.0,
1969Q3,49,,30.0,50.0,50.0,25.0,
1969Q3,51,,0.0,20.0,75.0,30.0,
1969Q3,53,,20.0,40.0,60.0,80.0,
1969Q3,54,,0.0,30.0,90.0,75.0,
1969Q3,56,,50.0,30.0,25.0,10.0,
1969Q3,58,,10.0,70.0,15.0,10.0,
1969Q3,61,,0.0,5.0,15.0,15.0,
1969Q3,62,,0.0,40.0,40.0,20.0,
1969Q3,64,,50.0,70.0,80.0,40.0,
1969Q3,65,,2.0,20.0,20.0,20.0,
1969Q3,69,,0.0,20.0,25.0,30.0,
1969Q3,70,,0.0,20.0,40.0,50.0,
1969Q3,74,,10.0,50.0,30.0,10.0,
1969Q3,76,,0.0,0.0,0.0,10.0,
1969Q3,77,,2.0,15.0,20.0,5.0,
1969Q3,78,,20.0,30.0,30.0,20.0,
1969Q3,81,,5.0,15.0,15.0,15.0,
1969Q3,82,,10.0,30.0,30.0,10.0,
1969Q3,85,,0.0,5.0,10.0,5.0,
1969Q3,86,,10.0,20.0,20.0,10.0,
1969Q3,90,,10.0,15.0,20.0,20.0,
1969Q3,93,,,,,,
1969Q3,97,,,,,,
1969Q3,98,,,,,,
1969Q3,100,,,,,,
1969Q3,102,,,,,,
1969Q3,103,,,,,,
1969Q3,104,,,,,,
1969Q3,107,,,,,,
1969Q3,109,,,,,,
1969Q3,118,,,,,,
1969Q3,131,,,,,,
1969Q3,132,,,,,,
1969Q3,150,,,,,,
1969Q3,201,,0.0,0.0,0.0,0.0,
1969Q3,202,,40.0,50.0,70.0,70.0,
1969Q3,203,,10.0,50.0,60.0,10.0,
1969Q3,204,,10.0,30.0,50.0,50.0,
1969Q3,205,,10.0,30.0,50.0,50.0,
1969Q3,206,,20.0,50.0,60.0,70.0,
1969Q3,207,,20.0,40.0,50.0,60.0,
1969Q3,208,,0.0,0.0,0.0,0.0,
1969Q3,209,,0.0,0.0,0.0,0.0,
1969Q3,210,,25.0,25.0,50.0,35.0,
1969Q3,211,,0.0,0.0,100.0,100.0,
1969Q3,212,,20.0,40.0,10.0,10.0,
1969Q3,213,,50.0,25.0,25.0,10.0,
1969Q3,214,,0.0,20.0,40.0,60.0,
1969Q3,215,,0.0,0.0,0.0,0.0,
1969Q3,216,,50.0,50.0,50.0,50.0,
1969Q3,217,,10.0,20.0,20.0,10.0,
1969Q3,218,,10.0,40.0,75.0,60.0,
1969Q3,219,,0.0,50.0,50.0,0.0,
1969Q3,220,,50.0,10.0,10.0,0.0,
1969Q3,221,,0.0,0.0,20.0,0.0,
1969Q3,222,,50.0,25.0,50.0,50.0,
1969Q3,223,,10.0,10.0,10.0,10.0,
1969Q3,224,,30.0,40.0,45.0,50.0,
1969Q3,225,,20.0,40.0,70.0,50.0,
1969Q3,226,,10.0,20.0,20.0,50.0,
1969Q3,227,,0.0,25.0,35.0,55.0,
1969Q3,228,,30.0,40.0,40.0,20.0,
1969Q3,229,,0.0,15.0,65.0,20.0,
1969Q3,230,,0.0,0.0,0.0,20.0,
1969Q3,231,,10.0,15.0,10.0,10.0,
1969Q3,232,,50.0,50.0,0.0,0.0,
1969Q3,233,,0.0,50.0,25.0,25.0,
